SiteNumber,Type,LocationID,EffectiveDate,Region,DistrictOffice,State,StateName,County,CountyState,City,FacilityName,Ownership,Use,Owner,OwnerAddress,OwnerCSZ,OwnerPhone,Manager,ManagerAddress,ManagerCSZ,ManagerPhone,ARPLatitude,ARPLatitudeS,ARPLongitude,ARPLongitudeS,ARPMethod,ARPElevation,ARPElevationMethod,MagneticVariation,MagneticVariationYear,TrafficPatternAltitude,ChartName,DistanceFromCBD,DirectionFromCBD,LandAreaCoveredByAirport,BoundaryARTCCID,BoundaryARTCCComputerID,BoundaryARTCCName,ResponsibleARTCCID,ResponsibleARTCCComputerID,ResponsibleARTCCName,TieInFSS,TieInFSSID,TieInFSSName,AirportToFSSPhoneNumber,TieInFSSTollFreeNumber,AlternateFSSID,AlternateFSSName,AlternateFSSTollFreeNumber,NOTAMFacilityID,NOTAMService,ActiviationDate,AirportStatusCode,CertificationTypeDate,FederalAgreements,AirspaceDetermination,CustomsAirportOfEntry,CustomsLandingRights,MilitaryJointUse,MilitaryLandingRights,InspectionMethod,InspectionGroup,LastInspectionDate,LastOwnerInformationDate,FuelTypes,AirframeRepair,PowerPlantRepair,BottledOxygenType,BulkOxygenType,LightingSchedule,BeaconSchedule,ATCT,UNICOMFrequencies,CTAFFrequency,SegmentedCircle,BeaconColor,NonCommercialLandingFee,MedicalUse,SingleEngineGA,MultiEngineGA,JetEngineGA,HelicoptersGA,GlidersOperational,MilitaryOperational,Ultralights,OperationsCommercial,OperationsCommuter,OperationsAirTaxi,OperationsGALocal,OperationsGAItin,OperationsMilitary,OperationsDate,AirportPositionSource,AirportPositionSourceDate,AirportElevationSource,AirportElevationSourceDate,ContractFuelAvailable,TransientStorage,OtherServices,WindIndicator
09749.*A,AIRPORT,DTW,5/31/12,AGL,DET,MI,MICHIGAN,WAYNE,MI,DETROIT,DETROIT METROPOLITAN WAYNE COUNTY,PU,PU,"WAYNE COUNTY, MICHIGAN",L C SMITH TERMINAL MEZZANINE,"DETROIT, MI 48242",    734-942-3550,TURKIA AWADA MULLIN,L C SMITH TERMINAL MEZZANINE,"DETROIT, MI 48242",    734-942-3550,42-12-44.8000N,151964.8000N,083-21-12.2000W,300072.2000W,E,645,S,06W,1990,1000,DETROIT,15,S,6400,ZOB,ZCC,CLEVELAND,,,,N,LAN,LANSING,,1-800-WX-BRIEF,,,,DTW,Y,4/1/40,O,I E S 05/1973,NGPRY,NO OBJECTION,Y,N,N,Y,F,F,10042011,,100LLA    A+,NONE,NONE,NONE,NONE,,SS-SR,Y,122.95,,N,CG,Y,,1,0,7,0,,,,193557,,249350,0,6861,93,7/31/11,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","AFRT,CARGO",Y-L
09750.*A,AIRPORT,YIP,5/31/12,AGL,DET,MI,MICHIGAN,WAYNE,MI,DETROIT,WILLOW RUN,PU,PU,WAYNE COUNTY AIRPORT AUTHORITY,L C SMITH - TERMINAL MEZZANINE,"DETROIT, MI 48242",    734-485-6666,DAVID DIMARIA,801 WILLOW RUN AIRPORT,"YPSILANTI, MI 48198",    734-485-6670,42-14-21.4932N,152061.4932N,083-31-51.4750W,300711.4750W,E,716,S,06W,1995,1000,DETROIT,24,SW,2600,ZOB,ZCC,CLEVELAND,,,,N,LAN,LANSING,,1-800-WX-BRIEF,,,,YIP,Y,12/1/42,O,IV A U 10/1974,NGPRXY,NO OBJECTION,N,Y,N,Y,S,F,7212010,,100LLA,MAJOR,MAJOR,HIGH,HIGH,,SS-SR,Y,,,N,CG,Y,,107,40,69,8,,,,4211,,14710,28205,36615,82,12/31/09,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES",Y-L
09788.*A,AIRPORT,ESC,5/31/12,AGL,DET,MI,MICHIGAN,DELTA,MI,ESCANABA,DELTA COUNTY,PU,PU,DELTA COUNTY,310 LUDINGTON ST,"ESCANABA, MI 49829",    906-789-5100,CONNIE NESS,"DELTA COUNTY AIRPORT, 3300 AIRPORT ROAD","ESCANABA, MI 49829",    906-786-4902,45-43-21.6000N,164601.6000N,087-05-37.4000W,313537.4000W,E,609,S,03W,1985,1000,GREEN BAY,2,SW,944,ZMP,ZCP,MINNEAPOLIS,,,,N,GRB,GREEN BAY,,1-800-WX-BRIEF,,,,ESC,Y,4/1/40,O,I A S 05/1973,NGY,NO OBJECTION,N,N,N,Y,F,F,6162011,,100LLA,MINOR,MINOR,NONE,NONE,SEE RMK,SS-SR,N,122.8,122.8,Y,CG,Y,,28,1,0,0,,,,1040,,7476,20000,10000,300,12/31/10,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,HGR,"INSTR,RNTL",Y-L
09809.*A,AIRPORT,FNT,5/31/12,AGL,DET,MI,MICHIGAN,GENESEE,MI,FLINT,BISHOP INTL,PU,PU,BISHOP INTL ARPT AUTH,G-3425 W. BRISTOL RD,"FLINT, MI 48507",    810-235-6560,JAMES RICE,G-3425 W. BRISTOL RD,"FLINT, MI 48507",    810-235-6560,42-57-55.5000N,154675.5000N,083-44-37.2000W,301477.2000W,E,782,S,06W,2000,,DETROIT,3,SW,1550,ZOB,ZCC,CLEVELAND,,,,N,LAN,LANSING,,1-800-WX-BRIEF,,,,FNT,Y,4/1/40,O,I B S 05/1973,NGY3,NO OBJECTION,Y,N,N,Y,F,F,4292011,,100LLA,MAJOR,MAJOR,NONE,,,SEE RMK,Y,122.95,126.3,N,CG,,,72,19,3,,,,,7655,,12541,11047,16098,90,12/31/10,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,CARGO,CHTR,INSTR,SALES",Y-L
09852.*A,AIRPORT,GRR,5/31/12,AGL,DET,MI,MICHIGAN,KENT,MI,GRAND RAPIDS,GERALD R. FORD INTL,PU,PU,KENT CO DEPT OF AERONAUTICS,5500 44TH ST SE,"GRAND RAPIDS, MI 49512",    616-233-6000,JAMES A. KOSLOSKY,5500  44TH ST SE,"GRAND RAPIDS, MI 49512",    616-233-6000,42-52-51.0000N,154371.0000N,085-31-22.1000W,307882.1000W,E,794,S,04W,1985,,CHICAGO,6,SE,3127,ZAU,ZCG,CHICAGO,,,,N,LAN,LANSING,,1-800-WX-BRIEF,,,,GRR,Y,5/1/63,O,I C S 05/1973,NGY,NO OBJECTION,N,Y,N,Y,F,F,9222011,,100LLA,MAJOR,MAJOR,HIGH,HIGH,SEE RMK,SS-SR,Y,122.95,135.65,N,CG,,,35,11,35,6,,,,18175,,28709,10112,28398,1679,12/31/10,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AMB,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES",Y-L
09881.*A,AIRPORT,CMX,5/31/12,AGL,DET,MI,MICHIGAN,HOUGHTON,MI,HANCOCK,HOUGHTON COUNTY MEMORIAL,PU,PU,HOUGHTON COUNTY,23810 AIRPARK BLVD SUITE 113,"CALUMET, MI 49913",    906-482-3970,DENNIS M. HEXT,23810 AIRPARK BLVD SUITE 113,"CALUMET, MI 49913",    906-482-3970,47-10-06.3020N,169806.3020N,088-29-20.6190W,318560.6190W,E,1095,S,02W,1985,,GREEN BAY,4,NE,1996,ZMP,ZCP,MINNEAPOLIS,,,,N,GRB,GREEN BAY,,1-800-WX-BRIEF,,,,CMX,Y,,O,I A S 05/1973,NGY,NO OBJECTION,N,N,N,Y,F,F,5242011,,100LLA,MAJOR,MAJOR,,,SEE RMK,SS-SR,N,122.7,122.7,N,CG,Y,,22,,,,,,,3000,,2164,6000,4870,20,12/31/10,FAA,00:00.0,3RD PARTY SURVEY,00:00.0,,HGR,INSTR,Y-L
09962.*A,AIRPORT,IMT,5/31/12,AGL,DET,MI,MICHIGAN,DICKINSON,MI,IRON MOUNTAIN KINGSFORD,FORD,PU,PU,DICKINSON COUNTY,COUNTY COURT HOUSE,"IRON MOUNTAIN, MI 49802",    906-774-2573,TIM HOWEN,FORD ARPT,"KINGSFORD, MI 49801",    906-774-4870,45-49-06.1000N,164946.1000N,088-06-52.4000W,317212.4000W,E,1182,S,02W,1985,800,GREEN BAY,3,W,720,ZMP,ZCP,MINNEAPOLIS,,,,N,GRB,GREEN BAY,,1-800-WX-BRIEF,,,,IMT,Y,4/1/40,O,I A S 05/1973,NGY,NO OBJECTION,N,N,N,Y,F,F,4022010,,100LLA,MAJOR,MAJOR,LOW,NONE,,SEE RMK,N,122.8,122.8,Y,CG,Y,,25,4,1,1,,,,2080,,4316,500,700,10,12/31/09,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,CHTR,INSTR,RNTL",Y-L
09968.*A,AIRPORT,IWD,5/31/12,AGL,DET,MI,MICHIGAN,GOGEBIC,MI,IRONWOOD,GOGEBIC-IRON COUNTY,PU,PU,GOGEBIC COUNTY,GOGEBIC CO COURT HOUSE,"BESSEMER, MI 49911",    906-932-3121,DUANE DURAY,E 5560 AIRPORT ROAD,"IRONWOOD, MI 49938",    906-932-3121,46-31-38.9090N,167498.9090N,090-07-53.0280W,324473.0280W,E,1230,S,00E,1985,,GREEN BAY,7,NE,1180,ZMP,ZCP,MINNEAPOLIS,,,,N,GRB,GREEN BAY,,1-800-WX-BRIEF,,,,IWD,Y,4/1/40,O,I B S 05/1973,NGY,NO OBJECTION,N,N,N,Y,F,F,4042011,,100LLA,,,NONE,NONE,,SEE RMK,N,122.8,122.8,Y,CG,Y,,8,1,0,0,,,1,1404,,500,2000,1550,10,12/31/10,NGS,,,,,"HGR,TIE",,Y-L
09986.*A,AIRPORT,AZO,5/31/12,AGL,DET,MI,MICHIGAN,KALAMAZOO,MI,KALAMAZOO,KALAMAZOO/BATTLE CREEK INTL,PU,PU,KALAMAZOO CO.,5235 PORTAGE ROAD,"KALAMAZOO, MI 49002",    269-388-3668,CLIFTON MOSHOGINIS,5235 PORTAGE ROAD,"KALAMAZOO, MI 49002",    269-388-3668,42-14-03.8000N,152043.8000N,085-33-05.6000W,307985.6000W,E,874,S,03W,1985,800,CHICAGO,3,SE,832,ZAU,ZCG,CHICAGO,,,,N,LAN,LANSING,,1-800-WX-BRIEF,,,,AZO,Y,4/1/40,O,I B S 05/1973,NGY3,NO OBJECTION,N,Y,N,Y,F,F,3312010,,100LLA,MAJOR,MAJOR,HIGH,HIGH,SEE RMK,SEE RMK,Y,122.95,118.3,Y,CG,N,,130,11,2,,,,,855,,9205,18892,21685,60,12/31/09,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","CARGO,CHTR,INSTR,RNTL",Y-L
10010.*A,AIRPORT,LAN,5/31/12,AGL,DET,MI,MICHIGAN,CLINTON,MI,LANSING,CAPITAL REGION INTL,PU,PU,CAPITAL REGION ARPT AUTHORITY,4100 CAPITAL CITY BLVD,"LANSING, MI 48906",    517-321-6121,ROBERT SELIG,4100 CAPITAL CITY BLVD,"LANSING, MI 48906",    517-321-6121,42-46-43.1000N,154003.1000N,084-35-10.3000W,304510.3000W,E,861,S,05W,1985,,DETROIT,3,NW,2160,ZOB,ZCC,CLEVELAND,,,,N,LAN,LANSING,,1-800-WX-BRIEF,,,,LAN,Y,4/1/40,O,I B S 11/2005,NGY,NO OBJECTION,Y,N,N,Y,F,F,11302011,,100LLA,MAJOR,MAJOR,NONE,HIGH,SS-SR,SS-SR,Y,122.95,,N,CG,Y,,57,19,6,3,1,1,,2360,,15333,8495,15854,937,10/31/11,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","CHTR,INSTR",Y-L
10049.*A,AIRPORT,MBL,5/31/12,AGL,DET,MI,MICHIGAN,MANISTEE,MI,MANISTEE,MANISTEE CO.-BLACKER,PU,PU,MANISTEE CO. BLACKER ARPT AUTHORITY,2323 AIRPORT ROAD,"MANISTEE, MI 49660",    231-723-4351,BARRY LIND,2323 AIRPORT RD,"MANISTEE, MI 49660",    231-723-4351,44-16-20.9000N,159380.9000N,086-14-48.8000W,310488.8000W,E,621,S,01W,1965,,GREEN BAY,3,NE,290,ZMP,ZCP,MINNEAPOLIS,,,,N,LAN,LANSING,,1-800-WX-BRIEF,,,,MBL,Y,4/1/40,O,I A S 09/2005,NGY,NO OBJECTION,N,N,N,Y,S,F,9092011,,100LLA,MINOR,MINOR,,,SEE RMK,SS-SR,N,122.8,122.8,Y,CG,N,,7,1,0,0,,,,1250,,600,2500,2500,15,12/31/11,FAA,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE",CHTR,Y-L
10064.02*A,AIRPORT,SAW,5/31/12,AGL,DET,MI,MICHIGAN,MARQUETTE,MI,MARQUETTE,SAWYER INTL,PU,PU,MARQUETTE COUNTY,125 G AVENUE,"GWINN, MI 49841",    906-346-3308,SCOTT ERBISCH,"SAWYER INTL AIRPORT, 225 AIRPORT DR","GWINN, MI 49841",    906-346-3308,46-21-13.1000N,166873.1000N,087-23-43.3000W,314623.3000W,E,1221,S,04W,2000,,GREEN BAY,17,S,2100,ZMP,ZCP,MINNEAPOLIS,,,,N,GRB,GREEN BAY,,1-800-WX-BRIEF,,,,SAW,Y,,O,I B S 09/1999,NGYP,NOT ANALYZED,N,Y,Y,Y,F,F,6072011,10011976,100LLA,MAJOR,MAJOR,,HIGH/LOW,SEE RMK,SS-SR,Y,122.7,119.975,Y,CG,Y,,39,5,0,1,,0,,2,,10513,9265,1110,455,12/31/10,FAA,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AVNCS,CARGO,INSTR,RNTL",Y-L
10127.*A,AIRPORT,MKG,5/31/12,AGL,DET,MI,MICHIGAN,MUSKEGON,MI,MUSKEGON,MUSKEGON COUNTY,PU,PU,MUSKEGON CO.,99 SINCLAIR DRIVE,"MUSKEGON, MI 49441",    231-798-4596,"MARTY PIETTE, A.A.E.",99 SINCLAIR DRIVE,"MUSKEGON, MI 49441",    231-798-4596,43-10-03.6182N,155403.6182N,086-14-07.5794W,310447.5794W,E,629,S,04W,1995,,CHICAGO,4,S,1200,ZAU,ZCG,CHICAGO,,,,N,LAN,LANSING,,1-800-WX-BRIEF,,,,MKG,Y,4/1/40,O,I A S 05/1973,NGRY,NO OBJECTION,N,N,N,Y,F,F,9082011,,100LLA,MAJOR,MAJOR,NONE,LOW,SEE RMK,SS-SR,Y,122.95,126.25,N,CG,Y,,48,24,5,3,,1,,7,,2268,18059,15624,786,7/31/11,NGS,,FAA,00:00.0,,"HGR,TIE","AFRT,AMB,CARGO,CHTR,INSTR,RNTL,SALES",Y-L
10218.*A,AIRPORT,PLN,5/31/12,AGL,DET,MI,MICHIGAN,EMMET,MI,PELLSTON,PELLSTON RGNL AIRPORT OF EMMET COUNTY,PU,PU,EMMET COUNTY,US 31 N,"PELLSTON, MI 49769",    231-539-8441,KELLY ATKINS,US 31 N,"PELLSTON, MI 49769",    231-539-8441,45-34-15.3000N,164055.3000N,084-47-48.2000W,305268.2000W,E,721,S,06W,1985,,LAKE HURON,1,NW,1675,ZMP,ZCP,MINNEAPOLIS,,,,N,LAN,LANSING,,1-800-WX-BRIEF,,,,PLN,Y,3/1/41,O,I A S 05/1973,NGY3,NO OBJECTION,N,N,N,Y,F,F,10132011,,100LLA,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,123,123,Y,CG,Y,,32,3,1,,,,,2561,,,1300,12460,100,12/31/10,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,TIE,CHTR,Y-L
10232.*A,AIRPORT,PTK,5/31/12,AGL,DET,MI,MICHIGAN,OAKLAND,MI,PONTIAC,OAKLAND COUNTY INTL,PU,PU,COUNTY OF OAKLAND,1200 N TELEGRAPH,"PONTIAC, MI 48341",    248-666-3900,KARL RANDALL,6500 HIGHLAND RD,"WATERFORD, MI 48327",    248-666-3900,42-39-56.2903N,153596.2903N,083-25-13.8203W,300313.8203W,E,981,S,04W,1980,,DETROIT,5,W,750,ZOB,ZCC,CLEVELAND,,,,N,LAN,LANSING,,1-800-WX-BRIEF,,,,PTK,Y,4/1/40,O,IV A U 11/1974,NGY,NO OBJECTION,N,Y,N,Y,F,F,6142010,,100LLA,MAJOR,MAJOR,NONE,HIGH,SEE RMK,SS-SR,Y,122.95,120.5,N,CG,Y,,309,102,124,12,1,,1,717,,7102,71405,65349,105,12/31/09,FAA,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES",Y-L
10299.*A,AIRPORT,MBS,5/31/12,AGL,DET,MI,MICHIGAN,SAGINAW,MI,SAGINAW,MBS INTL,PU,PU,MBS INTERNATIONAL,8500 GARFIELD RD STE 101,"FREELAND, MI 48623",    989-695-5555,JEFF NAGEL,8500 GARFIELD RD STE 101,"FREELAND, MI 48623",    989-695-5555,43-31-58.5000N,156718.5000N,084-04-46.7000W,302686.7000W,E,668,S,04W,1980,,DETROIT,9,NW,3200,ZOB,ZCC,CLEVELAND,,,,N,LAN,LANSING,,1-800-WX-BRIEF,,,,MBS,Y,3/1/43,O,I B S 05/1973,NGPY3,NO OBJECTION,N,Y,N,Y,1,F,4272011,,100LLA,MINOR,MINOR,HIGH,,,SEE RMK,Y,122.95,120.1,Y,CG,Y,,9,5,9,,,,,927,,9859,7957,9006,413,12/31/10,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE",,Y-L
10329.*A,AIRPORT,CIU,5/31/12,AGL,DET,MI,MICHIGAN,CHIPPEWA,MI,SAULT STE MARIE,CHIPPEWA COUNTY INTL,PU,PU,CHIPPEWA COUNTY ECON DEV CORP,5019 W AIRPORT DR,"KINCHELOE, MI 49788",    906-495-5631,KATHY L NOEL,5019 W AIRPORT DR,"KINCHELOE, MI 49788",    906-495-5631,46-15-02.7000N,166502.7000N,084-28-20.6000W,304100.6000W,E,799,S,06W,1985,800,LAKE HURON,15,S,1850,ZMP,ZCP,MINNEAPOLIS,ZYZ,ZYZ,TORONTO,N,GRB,GREEN BAY,,1-800-WX-BRIEF,,,,CIU,Y,,O,I A S 04/1977,NGPY,NO OBJECTION,Y,N,N,Y,F,F,10202011,,100LLA,,,NONE,NONE,SEE RMK,SS-SR,N,123,123,Y,CG,N,,6,4,1,,,,,1460,,200,400,300,43,10/20/11,FAA,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE",,Y-L
10379.*A,AIRPORT,TVC,5/31/12,AGL,DET,MI,MICHIGAN,GRAND TRAVERSE,MI,TRAVERSE CITY,CHERRY CAPITAL,PU,PU,GRAND TRAVERSE & LEELANAU CO,NORTHWESTERN RGNL ARPT CMSN,"TRAVERSE CITY, MI 49686",    231-947-2250,"KEVIN C. KLEIN, A.A.E.",727 FLY DON'T DRIVE,"TRAVERSE CITY, MI 49686",    231-947-2250,44-44-29.9000N,161069.9000N,085-34-56.5000W,308096.5000W,E,624,S,05W,1985,,GREEN BAY,2,S,1026,ZMP,ZCP,MINNEAPOLIS,,,,N,LAN,LANSING,,1-800-WX-BRIEF,,,,TVC,Y,4/1/40,O,I B S 05/1973,NGPVY3,NO OBJECTION,N,N,Y,Y,F,F,8312011,,100LLA,MAJOR,MAJOR,,,SEE RMK,SS-SR,Y,122.95,124.2,Y,CG,Y,,61,14,3,6,,,,10553,,92,33250,29532,10524,12/31/10,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AGRI,AMB,AVNCS,CARGO,CHTR,INSTR,RNTL",Y-L
10546.*A,AIRPORT,BJI,5/31/12,AGL,MSP,MN,MINNESOTA,BELTRAMI,MN,BEMIDJI,BEMIDJI RGNL,PU,PU,CITY OF BEMIDJI / BELTRAMI CO,"3824 MOBERG DRIVE, STE. 101","BEMIDJI, MN 56601",    218-444-2438,HAROLD VAN LEEUWEN,"3824 MOBERG DRIVE, STE 101","BEMIDJI, MN 56601",    218-444-2438,47-30-38.6000N,171038.6000N,094-56-05.0000W,341765.0000W,E,1391,S,04E,1990,,TWIN CITIES,3,NW,1740,ZMP,ZCP,MINNEAPOLIS,,,,N,PNM,PRINCETON,,1-800-WX-BRIEF,,,,BJI,Y,9/1/46,O,I A S 05/1973,NGY3,NO OBJECTION,N,N,N,Y,F,F,11162011,,100LLA,MAJOR,MAJOR,HIGH/LOW,NONE,SEE RMK,SS-SR,N,122.8,122.8,N,CG,N,,23,12,,1,,,,3740,,1246,3890,3500,500,10/31/11,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,HGR,"AFRT,AMB,CHTR,INSTR,RNTL",Y-L
10576.*A,AIRPORT,BRD,5/31/12,AGL,MSP,MN,MINNESOTA,CROW WING,MN,BRAINERD,BRAINERD LAKES RGNL,PU,PU,BRAINERD/CROW WING CNTY,"16384 AIRPORT RD, SUITE 5","BRAINERD, MN 56401",    218-825-2166,RICK ADAIR,"BRAINERD LAKES REGIONAL ARPT, 16384 AIRPORT RD SUITE 5","BRAINERD, MN 56401",    218-825-2166,46-24-08.1374N,167048.1374N,094-08-08.0682W,338888.0682W,E,1232,S,03E,1995,1000,TWIN CITIES,3,NE,1560,ZMP,ZCP,MINNEAPOLIS,,,,N,PNM,PRINCETON,,1-800-WX-BRIEF,,,,BRD,Y,10/1/48,O,I A S 05/1973,NGY,NO OBJECTION,N,N,N,Y,F,F,11172011,,100LLA,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,122.7,122.7,Y,CG,N,,72,4,4,8,,,,3975,,1500,21900,9280,400,10/31/11,FAA,00:00.0,3RD PARTY SURVEY,00:00.0,,HGR,"CHTR,INSTR,RNTL",Y-L
10653.*A,AIRPORT,DLH,5/31/12,AGL,MSP,MN,MINNESOTA,ST LOUIS,MN,DULUTH,DULUTH INTL,PU,PU,"CITY OF DULUTH, MINN",4701 GRINDEN DR,"DULUTH, MN 55811",    218-727-2968,BRIAN D RYKS,4701 GRINDEN DR,"DULUTH, MN 55811",    218-727-2968,46-50-31.5000N,168631.5000N,092-11-37.1000W,331897.1000W,E,1428,S,02E,1985,,GREEN BAY,5,NW,3020,ZMP,ZCP,MINNEAPOLIS,,,,N,PNM,PRINCETON,,1-800-WX-BRIEF,,,,DLH,Y,4/1/40,O,I B S 05/1973,NGPY3,NO OBJECTION,Y,N,Y,Y,F,F,7282011,,100LLA,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,,SS-SR,Y,122.95,,N,CG,Y,,52,11,0,2,,22,,1777,,8297,10021,23047,8129,6/30/10,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,CARGO,CHTR,INSTR,RNTL,SALES",Y
10737.*A,AIRPORT,HIB,5/31/12,AGL,MSP,MN,MINNESOTA,ST LOUIS,MN,HIBBING,RANGE RGNL,PU,PU,CHISHOLM-HIBBING AIRPORT,11038 E. HWY 37,"HIBBING, MN 55746",    218-262-3451,SHAUN GERMOLUS,11038 E. HWY 37,"HIBBING, MN 55746",    218-262-3451,47-23-11.7000N,170591.7000N,092-50-20.3000W,334220.3000W,E,1354,S,02E,1995,,GREEN BAY,4,SE,1600,ZMP,ZCP,MINNEAPOLIS,,,,N,PNM,PRINCETON,,1-800-WX-BRIEF,,,,HIB,Y,4/1/40,O,I A S 06/1973,NGY3,NO OBJECTION,N,N,N,Y,F,F,11082011,,100LLA,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,123,123,N,CG,N,,42,2,,6,,,,2628,,2634,15003,10000,100,12/31/10,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,HGR,"AMB,AVNCS,CHTR,INSTR,RNTL,SALES",Y-L
10749.*A,AIRPORT,INL,5/31/12,AGL,MSP,MN,MINNESOTA,KOOCHICHING,MN,INTERNATIONAL FALLS,FALLS INTL,PU,PU,CITY OF INTL FALLS,BOX 392,"INTERNATIONAL FALLS, MN 56649",    218-283-4461,THOR EINARSON,3214 2 ND AVE E,"INTERNATIONAL FALLS, MN 56649",    218-283-4461,48-33-56.1000N,174836.1000N,093-24-07.8000W,336247.8000W,E,1185,S,03E,1985,1000,TWIN CITIES,0,S,681,ZMP,ZCP,MINNEAPOLIS,,,,N,PNM,PRINCETON,,1-800-WX-BRIEF,,,,INL,Y,3/1/42,O,I A S 05/1973,NGY3,NO OBJECTION,Y,N,N,Y,F,F,10092008,,100LLA,,,NONE,NONE,SEE RMK,SS-SR,N,122.8,122.8,N,CG,N,,20,,,,,,2,2300,,2500,15000,20000,100,12/31/08,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AMB,CHTR,INSTR,RNTL",Y
10824.*A,AIRPORT,MSP,5/31/12,AGL,MSP,MN,MINNESOTA,HENNEPIN,MN,MINNEAPOLIS,MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN,PU,PU,METRO ARPT CMSN,6040 28 TH AV SO,"MINNEAPOLIS, MN 55450",    612-726-8100,STEVE WAREHAM,4300 GLUMACK SUITE 3000,"ST PAUL, MN 55111",    612-725-6464,44-52-55.0440N,161575.0440N,093-13-18.3560W,335598.3560W,E,841,E,02E,1995,,TWIN CITIES,6,SW,2930,ZMP,ZCP,MINNEAPOLIS,ZMP,ZCP,MINNEAPOLIS,N,PNM,PRINCETON,,1-800-WX-BRIEF,,,,MSP,Y,4/1/40,O,I E S 05/1973,NGPRSY,NO OBJECTION,N,Y,Y,Y,F,F,9202010,,100LLA,MAJOR,MAJOR,HIGH,HIGH,,SS-SR,Y,122.95,,N,CG,Y,,,29,118,0,,16,,396163,,12203,0,26157,1983,12/31/11,NACO,00:00.0,STATE,,,"HGR,TIE","AFRT,AVNCS,CARGO,CHTR",Y-L
10950.1*A,AIRPORT,RST,5/31/12,AGL,MSP,MN,MINNESOTA,OLMSTED,MN,ROCHESTER,ROCHESTER INTL,PU,PU,CITY OF ROCHESTER,CITY HALL,"ROCHESTER, MN 55904",    507-282-2328,STEVEN W LEQVE,HELGERSON DR. SW,"ROCHESTER, MN 55902",    507-282-2328,43-54-29.8000N,158069.8000N,092-30-00.1000W,333000.1000W,E,1317,S,01E,2005,,CHICAGO,7,SW,2400,ZMP,ZCP,MINNEAPOLIS,,,,N,PNM,PRINCETON,,1-800-WX-BRIEF,,,,RST,Y,4/1/61,O,I B S 05/1973,NGY,NO OBJECTION,N,Y,N,Y,F,F,12152011,,100LLA,MAJOR,MAJOR,HIGH/LOW,NONE,SEE RMK,SS-SR,Y,122.95,118.3,N,CG,N,,57,4,3,,,,1,13056,,,10070,16910,870,11/30/11,NGS,00:00.0,,,,HGR,"AMB,AVNCS,CHTR,INSTR,RNTL",Y-L
